country_code,country_name,region,continent,income_group,latest_q_year,latest_q,latest_urban_pct,avg_q_2010s,avg_ci_gdp_2010s,avg_muq_2010s,q_crossover_year,q_crossover_urban_pct,q_crossover_services_pct,q_crossover_hc,ever_above_1,ever_below_1,gdp_per_capita
AUT,Austria,Europe & Central Asia,Europe & Central Asia,High income,2019.0,1.8190640861916396,68.3176044750522,2.0293378507487314,0.2332580701346693,21.068855914568992,,,,,True,False,49885.99473552036
MLI,Mali,Sub-Saharan Africa,Africa,Low income,2019.0,2.004751533605724,28.3520715749509,1.9800902882161207,0.23247569364196213,15.318196745299678,1981.0,14.3462009202826,40.8897980468745,1.0563297271728516,True,True,971.9493186380935
KOR,"Korea, Rep.",East Asia & Pacific,East Asia & Pacific,High income,2019.0,1.8239378658560879,81.2901063535619,1.9740429056103885,0.3006779552233449,16.755949300699072,,,,,True,False,33826.94433015977
GIN,Guinea,Sub-Saharan Africa,Africa,Low income,2019.0,2.2355301459395274,36.1281547546387,1.9584478866932435,0.2534178846825207,5.537304393248011,,,,,True,False,1031.3414648073176
SDN,Sudan,Sub-Saharan Africa,Africa,Low income,2019.0,1.5549490359472964,34.4727685824236,1.9454154472180893,0.15279872702494696,13.026442572042043,1992.0,31.7438179745549,45.476717659199,1.2539488077163696,True,True,709.9752990166851
IRL,Ireland,Europe & Central Asia,Europe & Central Asia,High income,2019.0,1.7229993885665296,63.2737009154127,1.9426070901372916,0.2641044385512603,3.1813856380275363,,,,,True,False,81827.66888739959
FRA,France,Europe & Central Asia,Europe & Central Asia,High income,2019.0,1.69225396789929,78.6890784549356,1.9405581225697326,0.2142583843440092,24.319967368594668,,,,,True,False,40408.284857475046
NLD,Netherlands,Europe & Central Asia,Europe & Central Asia,High income,2019.0,1.6689208153008273,93.8898028856479,1.850988554150422,0.19526886028322438,9.457783476787366,,,,,True,False,53554.9007491475
DEU,Germany,Europe & Central Asia,Europe & Central Asia,High income,2019.0,1.6249078711364842,81.3053991689039,1.7889486372190042,0.2004156617228988,22.77288205532696,,,,,True,False,47656.19973974703
CAN,Canada,North America,North America,High income,2019.0,1.5141917697936174,81.7363672047941,1.7845533742501256,0.23461781875444038,20.268875002654063,,,,,True,False,46352.869344521096
